id,supplier,parentSupplier,zone,country,category,scorecard_category,kpiApplicability,supplierApprovalStatus,greenCount,yellowCount,redCount,naCount,blankCount,year
sa-666,Brewery Zarate,Brewery Zarate,SAZ,Argentina,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-667,Brewery Zhangzhou,Brewery Zhangzhou,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-668,Brewery Ziyang,Brewery Ziyang,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-669,Briess,BRIESS MALTING,NAZ,United States,Raw Materials,DIRECT,Applicable,Approved,2,0,0,0,0,2026
sa-670,Briess (Insta Grains Facility),Briess (Insta Grains Facility),NAZ,United States,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-671,Briess Chilton,Briess Chilton,NAZ,United States,Raw Materials,DIRECT,Applicable,Not Approved,0,0,0,0,1,2026
sa-672,Broes Ingredients,BROES INGREDIENTS,EUR,Belgium,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-673,Brook House Hops Bromyard (Farmer),Brook House Hops Bromyard (Farmer),EUR,United Kingdom,Raw Materials,DIRECT,Applicable,Approved but Inactive,0,0,0,0,1,2026
sa-674,Bunzl Canada Inc,Bunzl Canada Inc,NAZ,Canada,Packaging Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-675,Buse,Buse,EUR,United Kingdom,Raw Materials,DIRECT,Applicable,Approved for Trials,1,0,0,0,0,2026
sa-676,Büfa Chemicals GmbH & Co. KG,Büfa Chemicals GmbH & Co. KG,EUR,Germany,Broker/Distributor,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-677,C.E. CENTRAL DE EMBALAGENS LTDA EM,C.E. CENTRAL DE EMBALAGENS LTDA,SAZ,Brazil,Packaging Materials,DIRECT,Applicable,Approved,2,0,0,0,0,2026
sa-678,CABARRIA IQA S.A.S,CABARRIA IQA,MAZ,Colombia,Raw Materials,DIRECT,Applicable,Approved,2,0,0,0,0,2026
sa-679,CABELMA SOCIEDAD ANONIMA,CABELMA,SAZ,Argentina,Packaging Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-680,CAEL,CAEL,MAZ,,Raw Materials,DIRECT,Applicable,Not Approved,1,0,0,0,0,2026
sa-681,CAMARGO COMPANHIA DE EMBALAGENS,CAMARGO COMPANHIA DE EMBALAGENS,SAZ,Brazil,Packaging Materials,DIRECT,Applicable,Not Approved,0,0,0,0,1,2026
sa-682,CARBO UA SOLUTIONS INTERNATIONAL LL,CARBO UA SOLUTIONS INTERNATIONAL LL,SAZ,United States,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-683,CARBOKEM SA DE CV,CARBOKEM SA DE CV,MAZ,Mexico,Broker/Distributor,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-684,CARBOMAN GAS CARBONICO MANAUS LTDA,CARBOMAN GAS CARBONICO DE MANAUS,SAZ,Brazil,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-685,CARBOSYS INDUSTRIA LTDA,CARBOSYS INDÚSTRIA,SAZ,Brazil,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-686,CARTOGUA,CARTOGUA,MAZ,Guatemala,Packaging Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
